id,source,headline,url,checkworthy,sentiment,raw_response,model,checkworthy_confidence,sentiment_confidence
11,Dhaka Tribune,‘যে ফিলিস্তিনিদের জন্য কষ্ট অনুভব করে না সে মানুষই নয়’,https://bangla.dhakatribune.com/sport/105513/%E2%80%98%E0%A6%AF%E0%A7%87-%E0%A6%AB%E0%A6%BF%E0%A6%B2%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%95%E0%A6%B7%E0%A7%8D%E0%A6%9F-%E0%A6%85%E0%A6%A8%E0%A7%81%E0%A6%AD%E0%A6%AC-%E0%A6%95%E0%A6%B0%E0%A7%87-%E0%A6%A8%E0%A6%BE-%E0%A6%B8%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7%E0%A6%87,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
12,Dhaka Tribune,"মিসরের বিপক্ষে আর্জেন্টিনার একাদশে ৩ পরিবর্তন, ফিরছেন যারা",https://bangla.dhakatribune.com/sport/105511/%E0%A6%AE%E0%A6%BF%E0%A6%B8%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%AA%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%87-%E0%A6%86%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A6%E0%A6%B6%E0%A7%87-%E0%A7%A9-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%A8,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.9}",gemma-3-4b-it,0.96,0.9
13,Dhaka Tribune,"সেমিফাইনাল থেকে বিশ্বকাপে নতুন বল, কী বদল আনছে ফিফা?",https://bangla.dhakatribune.com/sport/105508/%E0%A6%B8%E0%A7%87%E0%A6%AE%E0%A6%BF%E0%A6%AB%E0%A6%BE%E0%A6%87%E0%A6%A8%E0%A6%BE%E0%A6%B2-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%95%E0%A6%BE%E0%A6%AA%E0%A7%87-%E0%A6%A8%E0%A6%A4%E0%A7%81%E0%A6%A8-%E0%A6%AC%E0%A6%B2-%E0%A6%95%E0%A7%80-%E0%A6%AC%E0%A6%A6%E0%A6%B2-%E0%A6%86%E0%A6%A8%E0%A6%9B%E0%A7%87,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.97,0.88
14,Dhaka Tribune,"আর্জেন্টিনা জিতলেই বদলে যাবে সমীকরণ, সামনে অপেক্ষায় কোন দল?",https://bangla.dhakatribune.com/sport/105499/%E0%A6%86%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%A8%E0%A6%BE-%E0%A6%9C%E0%A6%BF%E0%A6%A4%E0%A6%B2%E0%A7%87%E0%A6%87-%E0%A6%AC%E0%A6%A6%E0%A6%B2%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A6%AC%E0%A7%87-%E0%A6%B8%E0%A6%AE%E0%A7%80%E0%A6%95%E0%A6%B0%E0%A6%A3-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%A8%E0%A7%87,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.82}",gemma-3-4b-it,0.95,0.82
15,Dhaka Tribune,২০৩০ বিশ্বকাপে সরাসরি খেলবে যে ৬টি দেশ,https://bangla.dhakatribune.com/sport/105493/%E0%A7%A8%E0%A7%A6%E0%A7%A9%E0%A7%A6-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%95%E0%A6%BE%E0%A6%AA%E0%A7%87-%E0%A6%B8%E0%A6%B0%E0%A6%BE%E0%A6%B8%E0%A6%B0%E0%A6%BF-%E0%A6%96%E0%A7%87%E0%A6%B2%E0%A6%AC%E0%A7%87-%E0%A6%AF%E0%A7%87-%E0%A7%AC%E0%A6%9F%E0%A6%BF-%E0%A6%A6%E0%A7%87%E0%A6%B6,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.99,0.93
16,Dhaka Tribune,কোয়ার্টার ফাইনালে ওঠার লড়াইয়ে মাঠে নামছে আর্জেন্টিনা,https://bangla.dhakatribune.com/sport/105492/%E0%A6%95%E0%A7%8B%E0%A7%9F%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0-%E0%A6%AB%E0%A6%BE%E0%A6%87%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%93%E0%A6%A0%E0%A6%BE%E0%A6%B0-%E0%A6%B2%E0%A7%9C%E0%A6%BE%E0%A6%87%E0%A7%9F%E0%A7%87-%E0%A6%AE%E0%A6%BE%E0%A6%A0%E0%A7%87-%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A6%9B%E0%A7%87,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
17,Dhaka Tribune,বাদ পড়ে ইউরোকেই বিশ্বকাপ মানছেন এখন রোনালদো,https://bangla.dhakatribune.com/sport/105473/%E0%A6%AC%E0%A6%BE%E0%A6%A6-%E0%A6%AA%E0%A7%9C%E0%A7%87-%E0%A6%87%E0%A6%89%E0%A6%B0%E0%A7%8B%E0%A6%95%E0%A7%87%E0%A6%87-%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%95%E0%A6%BE%E0%A6%AA-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%9B%E0%A7%87-%E0%A6%8F%E0%A6%96%E0%A6%A8-%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A6%A6%E0%A7%8B,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.93}",gemma-3-4b-it,0.97,0.93
18,Dhaka Tribune,বেলজিয়ামের গোল ঝড়ে উড়ে গেলো যুক্তরাষ্ট্র,https://bangla.dhakatribune.com/sport/105464/%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%9C%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%8B%E0%A6%B2-%E0%A6%9D%E0%A7%9C%E0%A7%87-%E0%A6%89%E0%A7%9C%E0%A7%87-%E0%A6%97%E0%A7%87%E0%A6%B2%E0%A7%8B-%E0%A6%AF%E0%A7%81%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A6%BE%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A7%8D%E0%A6%B0,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.99,0.96
19,Dhaka Tribune,"শেষ মুহূর্তের গোলে রোনালদোদের বিদায়, কোয়ার্টার ফাইনালে স্পেন",https://bangla.dhakatribune.com/sport/105455/%E0%A6%B6%E0%A7%87%E0%A6%B7-%E0%A6%AE%E0%A7%81%E0%A6%B9%E0%A7%82%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%8B%E0%A6%B2%E0%A7%87-%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A6%A6%E0%A7%8B%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A6%BE%E0%A6%AF%E0%A6%BC-%E0%A6%95%E0%A7%8B%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.94}",gemma-3-4b-it,0.96,0.94
20,Dhaka Tribune,প্রিয় দল হেরে গেলে মন ভালো করবেন যে ৩ উপায়ে,https://bangla.dhakatribune.com/sport/105435/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A7%9F-%E0%A6%A6%E0%A6%B2-%E0%A6%B9%E0%A7%87%E0%A6%B0%E0%A7%87-%E0%A6%97%E0%A7%87%E0%A6%B2%E0%A7%87-%E0%A6%AE%E0%A6%A8-%E0%A6%AD%E0%A6%BE%E0%A6%B2%E0%A7%8B-%E0%A6%95%E0%A6%B0%E0%A6%AC%E0%A7%87%E0%A6%A8-%E0%A6%AF%E0%A7%87-%E0%A7%A9-%E0%A6%89%E0%A6%AA%E0%A6%BE%E0%A7%9F%E0%A7%87,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.85, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.78}",gemma-3-4b-it,0.85,0.78
21,Dhaka Tribune,"কী খেয়ে মেশিনের মতো হয়েছে হালান্ড, কেন মুখে টেপ লাগিয়ে ঘুমান",https://bangla.dhakatribune.com/sport/105427/%E0%A6%95%E0%A7%80-%E0%A6%96%E0%A7%87%E0%A7%9F%E0%A7%87-%E0%A6%AE%E0%A7%87%E0%A6%B6%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%A4%E0%A7%8B-%E0%A6%B9%E0%A7%9F%E0%A7%87-%E0%A6%97%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%B9%E0%A6%B2%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A7%87-%E0%A6%9F%E0%A7%87%E0%A6%AA,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
22,Dhaka Tribune,তিন যুগ পর এমন লজ্জার মুখ দেখলো ব্রাজিল,https://bangla.dhakatribune.com/sport/105417/%E0%A6%A4%E0%A6%BF%E0%A6%A8-%E0%A6%AF%E0%A7%81%E0%A6%97-%E0%A6%AA%E0%A6%B0-%E0%A6%8F%E0%A6%AE%E0%A6%A8-%E0%A6%B2%E0%A6%9C%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%B0-%E0%A6%AE%E0%A7%81%E0%A6%96-%E0%A6%A6%E0%A7%87%E0%A6%96%E0%A6%B2%E0%A7%8B-%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%B2,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
23,Dhaka Tribune,সমর্থকদের কাছে ক্ষমা চেয়ে যা বললেন ব্রাজিল অধিনায়ক,https://bangla.dhakatribune.com/sport/105411/%E0%A6%B8%E0%A6%AE%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%95%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%9B%E0%A7%87-%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%AE%E0%A6%BE-%E0%A6%9A%E0%A7%87%E0%A7%9F%E0%A7%87-%E0%A6%AF%E0%A6%BE-%E0%A6%AC%E0%A6%B2%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%B2-%E0%A6%85%E0%A6%A7%E0%A6%BF%E0%A6%A8%E0%A6%BE%E0%A7%9F%E0%A6%95,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.95, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.95,0.88
24,Dhaka Tribune,"১০ জনের ইংল্যান্ডের দুর্দান্ত লড়াই, ছিটকে পড়লো স্বাগতিক মেক্সিকো",https://bangla.dhakatribune.com/sport/105410/%E0%A7%A7%E0%A7%A6-%E0%A6%9C%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%82%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%B2%E0%A7%9C%E0%A6%BE%E0%A6%87-%E0%A6%9B%E0%A6%BF%E0%A6%9F%E0%A6%95%E0%A7%87-%E0%A6%AA%E0%A7%9C%E0%A6%B2%E0%A7%8B,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,0.96,0.92
25,Dhaka Tribune,"ব্রাজিলের হেক্সা স্বপ্ন ভেঙে দিলেন হালান্ড, বিশ্বকাপে নতুন ইতিহাস নরওয়ের",https://bangla.dhakatribune.com/sport/105407/%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%B9%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%B8%E0%A6%BE-%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8-%E0%A6%AD%E0%A7%87%E0%A6%99%E0%A7%87-%E0%A6%A6%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%B9%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A1,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
26,Dhaka Tribune,"অফসাইডে নরওয়ের গোল বাতিল, পেনাল্টি মিস ব্রাজিলের; গোলশূন্য প্রথমার্ধ",https://bangla.dhakatribune.com/sport/105406/%E0%A6%85%E0%A6%AB%E0%A6%B8%E0%A6%BE%E0%A6%87%E0%A6%A1%E0%A7%87-%E0%A6%A8%E0%A6%B0%E0%A6%93%E0%A7%9F%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A7%8B%E0%A6%B2-%E0%A6%AC%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B2-%E0%A6%AA%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%B2%E0%A7%8D%E0%A6%9F%E0%A6%BF-%E0%A6%AE%E0%A6%BF%E0%A6%B8-%E0%A6%AC%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%B2%E0%A7%87%E0%A6%B0,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
